,Players,Values,links
541,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
542,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
543,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
544,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
545,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
546,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
547,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
548,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
549,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
550,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
551,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
552,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
553,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
554,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
555,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
556,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
557,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
558,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
559,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
560,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
561,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
562,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
563,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
