,Players,Values,links
168,Márcio Amoroso,£22.95m,https://www.transfermarkt.com/marcio-amoroso/profil/spieler/1263
169,Marko Arnautovic,£22.50m,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
170,Rony Lopes,£22.50m,https://www.transfermarkt.com/rony-lopes/profil/spieler/174694
171,Wesley,£22.50m,https://www.transfermarkt.com/wesley/profil/spieler/381362
172,Lautaro Martínez,£22.50m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625
173,Andriy Yarmolenko,£22.50m,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015
174,Jesé,£22.50m,https://www.transfermarkt.com/jese/profil/spieler/134936
175,Lazar Markovic,£22.50m,https://www.transfermarkt.com/lazar-markovic/profil/spieler/144303
176,Álvaro Negredo,£22.50m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
177,Bernard,£22.50m,https://www.transfermarkt.com/bernard/profil/spieler/175169
178,Arjen Robben,£22.50m,https://www.transfermarkt.com/arjen-robben/profil/spieler/4360
179,Joaquín,£22.50m,https://www.transfermarkt.com/joaquin/profil/spieler/7663
180,Michael Owen,£22.50m,https://www.transfermarkt.com/michael-owen/profil/spieler/1397
181,Alberto Gilardino,£22.50m,https://www.transfermarkt.com/alberto-gilardino/profil/spieler/5878
182,Marcelo Salas,£22.50m,https://www.transfermarkt.com/marcelo-salas/profil/spieler/3415
183,Savo Milosevic,£22.50m,https://www.transfermarkt.com/savo-milosevic/profil/spieler/7896
184,Zlatan Ibrahimovic,£22.32m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
185,Yannick Carrasco,£22.28m,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776
186,Darren Bent,£22.28m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
187,Aleksandar Mitrovic,£22.23m,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
188,Ricardo Quaresma,£22.14m,https://www.transfermarkt.com/ricardo-quaresma/profil/spieler/4188
189,Simone Verdi,£22.05m,https://www.transfermarkt.com/simone-verdi/profil/spieler/130360
190,Luis Muriel,£22.05m,https://www.transfermarkt.com/luis-muriel/profil/spieler/119228
191,Juan Iturbe,£22.05m,https://www.transfermarkt.com/juan-iturbe/profil/spieler/81455
192,André Ayew,£21.69m,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
193,Krzysztof Piatek,£21.60m,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757
194,Lucas Alario,£21.60m,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
195,Zlatan Ibrahimovic,£21.60m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
