Players,values,links
Lucas Moura,£36.00m,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100
Sergio Agüero,£36.00m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
Falcao,£36.00m,https://www.transfermarkt.com/falcao/profil/spieler/39152
David Villa,£36.00m,https://www.transfermarkt.com/david-villa/profil/spieler/7980
Hernán Crespo,£36.00m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
Marc Overmars,£36.00m,https://www.transfermarkt.com/marc-overmars/profil/spieler/3513
Richarlison,£35.28m,https://www.transfermarkt.com/richarlison/profil/spieler/378710
Michy Batshuayi,£35.10m,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184
Gonzalo Higuaín,£35.10m,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153
Didier Drogba,£34.65m,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924
Hirving Lozano,£34.20m,https://www.transfermarkt.com/hirving-lozano/profil/spieler/316889
Raúl Jiménez,£34.20m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
Felipe Anderson,£34.20m,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372
André Silva,£34.20m,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
Diego Costa,£34.20m,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
Dimitar Berbatov,£34.20m,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65
Fernando Torres,£34.20m,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767
Edin Dzeko,£33.30m,https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396
Filippo Inzaghi,£32.54m,https://www.transfermarkt.com/filippo-inzaghi/profil/spieler/5821
Gabriel Batistuta,£32.54m,https://www.transfermarkt.com/gabriel-batistuta/profil/spieler/5959
Javier Saviola,£32.31m,https://www.transfermarkt.com/javier-saviola/profil/spieler/7611
Vitolo,£32.04m,https://www.transfermarkt.com/vitolo/profil/spieler/67082
Willian,£31.95m,https://www.transfermarkt.com/willian/profil/spieler/52769
Romelu Lukaku,£31.82m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
Nicolas Anelka,£31.50m,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226
Álvaro Morata,£31.50m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
Dejan Kulusevski,£31.50m,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
Shoya Nakajima,£31.50m,https://www.transfermarkt.com/shoya-nakajima/profil/spieler/188911
Krzysztof Piatek,£31.50m,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757
Jackson Martínez,£31.50m,https://www.transfermarkt.com/jackson-martinez/profil/spieler/74418
Eden Hazard,£31.50m,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
Willian,£31.50m,https://www.transfermarkt.com/willian/profil/spieler/52769
Karim Benzema,£31.50m,https://www.transfermarkt.com/karim-benzema/profil/spieler/18922
Arjen Robben,£31.50m,https://www.transfermarkt.com/arjen-robben/profil/spieler/4360
Nicolas Anelka,£31.05m,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226
Alexis Sánchez,£30.60m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
Arda Turan,£30.60m,https://www.transfermarkt.com/arda-turan/profil/spieler/21369
Memphis Depay,£30.60m,https://www.transfermarkt.com/memphis-depay/profil/spieler/167850
Ayoze Pérez,£30.06m,https://www.transfermarkt.com/ayoze-perez/profil/spieler/246968
Carlos Bacca,£29.97m,https://www.transfermarkt.com/carlos-bacca/profil/spieler/119235
Ángel Di María,£29.70m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
Wilfried Bony,£29.07m,https://www.transfermarkt.com/wilfried-bony/profil/spieler/81808
Kévin Gameiro,£28.80m,https://www.transfermarkt.com/kevin-gameiro/profil/spieler/27389
Gabriel Jesus,£28.80m,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205
Arkadiusz Milik,£28.80m,https://www.transfermarkt.com/arkadiusz-milik/profil/spieler/191891
André Schürrle,£28.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
Denílson,£28.35m,https://www.transfermarkt.com/denilson/profil/spieler/7660
Shaun Wright-Phillips,£28.35m,https://www.transfermarkt.com/shaun-wright-phillips/profil/spieler/3467
Christian Benteke,£28.08m,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201
Trincão,£27.90m,https://www.transfermarkt.com/trincao/profil/spieler/412669
Islam Slimani,£27.90m,https://www.transfermarkt.com/islam-slimani/profil/spieler/174915
Antonio Cassano,£27.90m,https://www.transfermarkt.com/antonio-cassano/profil/spieler/5962
Ollie Watkins,£27.72m,https://www.transfermarkt.com/ollie-watkins/profil/spieler/324358
Robin van Persie,£27.63m,https://www.transfermarkt.com/robin-van-persie/profil/spieler/4380
Alex Iwobi,£27.36m,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
Rodrigo,£27.00m,https://www.transfermarkt.com/rodrigo/profil/spieler/131505
Steven Bergwijn,£27.00m,https://www.transfermarkt.com/steven-bergwijn/profil/spieler/284165
Ismaïla Sarr,£27.00m,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
Gelson Martins,£27.00m,https://www.transfermarkt.com/gelson-martins/profil/spieler/257448
Marcos Llorente,£27.00m,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411
Yannick Carrasco,£27.00m,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776
Keita Baldé,£27.00m,https://www.transfermarkt.com/keita-balde/profil/spieler/238752
Álvaro Morata,£27.00m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
Paco Alcácer,£27.00m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
André Schürrle,£27.00m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
Gonçalo Guedes,£27.00m,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122
Douglas Costa,£27.00m,https://www.transfermarkt.com/douglas-costa/profil/spieler/75615
Rodrigo,£27.00m,https://www.transfermarkt.com/rodrigo/profil/spieler/131505
